64,'\x0D\x0A全网数据业务分析之APNType用户数',5,'ftbGnSignalData','2 ','0 ','query_ftbStatWeekApnTypeUsers;ftp;load_ftbStatWeekApnTypeUsers'
65,'\x0D\x0A全网数据业务分析之协议用户数',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekTcpProtocolUsers;ftp;load_ftbStatWeekTcpProtocolUsers'
66,'\x0D\x0A全网数据业务分析之WAP用户数',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekWapProtocolUsers;ftp;load_ftbStatWeekWapProtocolUsers'
67,'\x0D\x0A全网数据业务分析之用户归属用户数',5,'ftbGnSignalData','2 ','0 ','query_ftbStatWeekUserBelongUsers;ftp;load_ftbStatWeekUserBelongUsers'
68,'\x0D 集团业务行为分析之空间_BSC用户数',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekApnBscUsers;ftp;load_ftbStatWeekApnBscUsers'
69,'\x0D\x0A集团业务行为分析之空间_SGSN用户数',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekApnSgsnUsers;ftp;load_ftbStatWeekApnSgsnUsers'
70,'\x0D\x0A集团业务行为分析之空间_街道办用户数',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekApnStreetUsers;ftp;load_ftbStatWeekApnStreetUsers'
71,'\x0D\x0A集团业务行为分析之空间_营销片区用户数',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekApnSaleAreaUsers;ftp;load_ftbStatWeekApnSaleAreaUsers'
72,'\x0D\x0A集团业务行为分析之空间_分公司用户数',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekApnCompanyUsers;ftp;load_ftbStatWeekApnCompanyUsers'
73,'\x0D\x0A集团业务行为分析之用户归属用户数',5,'ftbGnSignalData','2 ','0 ','query_ftbStatWeekApnUserBelongUsers;ftp;load_ftbStatWeekApnUserBelongUsers'
74,'\x0D\x0A全网数据业务分析之业务_Bussiness用户数',5,'ftbGnAppData','2 ','0 ','query_ftbStatWeekGprsBussUsers;ftp;load_ftbStatWeekGprsBussUsers'
75,'\x0D 全网数据业务分析之空间分析用户数BSC',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthBscGprsSpaceUsers;ftp;load_ftbStatMonthBscGprsSpaceUsers'
76,'\x0D 全网数据业务分析之空间分析用户数SGSN',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthSgsnGprsSpaceUsers;ftp;load_ftbStatMonthSgsnGprsSpaceUsers'
77,'\x0D 全网数据业务分析之空间分析用户数_街道办',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthStreetGprsSpaceUsers;ftp;load_ftbStatMonthStreetGprsSpaceUsers'
78,'\x0D 全网数据业务分析之空间分析用户数_营销片区',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthSaleAreaGprsSpaceUsers;ftp;load_ftbStatMonthSaleAreaGprsSpaceUsers'
79,'\x0D 全网数据业务分析之空间分析用户数_分公司',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthCompanyGprsSpaceUsers;ftp;load_ftbStatMonthCompanyGprsSpaceUsers'
80,'全网数据业务分析之空间分析_业务维BSC',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthBscBussTypeUsers;ftp;load_ftbStatMonthBscBussTypeUsers'
81,'全网数据业务分析之空间分析_业务维SGSN',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthSgsnBussTypeUsers;ftp;load_ftbStatMonthSgsnBussTypeUsers'
82,'全网数据业务分析之空间分析_业务维_街道办',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthStreetBussTypeUsers;ftp;load_ftbStatMonthStreetBussTypeUsers'
83,'全网数据业务分析之空间分析_业务维_营销片区',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthSaleAreaBussTypeUsers;ftp;load_ftbStatMonthSaleAreaBussTypeUsers'
84,'全网数据业务分析之空间分析_业务维_分公司',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthCompanyBussTypeUsers;ftp;load_ftbStatMonthCompanyBussTypeUsers'
85,'\x0D\x0A全网数据业务分析之业务用户数',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthGprsBussTypeUsers;ftp;load_ftbStatMonthGprsBussTypeUsers'
86,'\x0D\x0A全网数据业务分析之APN用户数',5,'ftbGnSignalData','3 ','0 ','query_ftbStatMonthApnUsers;ftp;load_ftbStatMonthApnUsers'
87,'\x0D\x0A全网数据业务分析之APNType用户数',5,'ftbGnSignalData','3 ','0 ','query_ftbStatMonthApnTypeUsers;ftp;load_ftbStatMonthApnTypeUsers'
88,'\x0D\x0A全网数据业务分析之协议用户数',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthTcpProtocolUsers;ftp;load_ftbStatMonthTcpProtocolUsers'
89,'\x0D\x0A全网数据业务分析之WAP用户数',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthWapProtocolUsers;ftp;load_ftbStatMonthWapProtocolUsers'
90,'\x0D\x0A全网数据业务分析之用户归属用户数',5,'ftbGnSignalData','3 ','0 ','query_ftbStatMonthUserBelongUsers;ftp;load_ftbStatMonthUserBelongUsers'
91,'\x0D\x0A集团业务行为分析之空间_BSC用户数',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthApnBscUsers;ftp;load_ftbStatMonthApnBscUsers'
92,'\x0D\x0A集团业务行为分析之空间_SGSN用户数',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthApnSgsnUsers;ftp;load_ftbStatMonthApnSgsnUsers'
93,'\x0D\x0A集团业务行为分析之空间_街道办用户数',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthApnStreetUsers;ftp;load_ftbStatMonthApnStreetUsers'
94,'\x0D\x0A集团业务行为分析之空间_营销片区用户数',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthApnSaleAreaUsers;ftp;load_ftbStatMonthApnSaleAreaUsers'
95,'\x0D\x0A集团业务行为分析之空间_分公司用户数',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthApnCompanyUsers;ftp;load_ftbStatMonthApnCompanyUsers'
96,'\x0D\x0A集团业务行为分析之用户归属用户数',5,'ftbGnSignalData','3 ','0 ','query_ftbStatMonthApnUserBelongUsers;ftp;load_ftbStatMonthApnUserBelongUsers'
97,'\x0D\x0A全网数据业务分析之业务_Bussiness用户数',5,'ftbGnAppData','3 ','0 ','query_ftbStatMonthGprsBussUsers;ftp;load_ftbStatMonthGprsBussUsers'
98,'\x0D\x0A生成临时辅助用户数表(小时)',5,'ftbGnAppData','0 ','0 ','user_TempUsersData'
99,'\x0D\x0A大流量用户时间点分布',5,'ftbGnAppData','0 ','0 ','query_ftbStatTimeOverFlush;ftp;load_ftbStatTimeOverFlush'
100,'大流量用户分布(天)',5,'ftbGnAppData','1 ','0 ','user_TempOverFlush'
101,'\x0D\x0A点对点彩信区域统计（小时）',5,'ftbGnAppData','0 ','0 ','query_ftbStatHourPeerMmsArea;ftp;load_ftbStatHourPeerMmsArea'
102,'\x0D\x0A点对点彩信号段统计（小时）',5,'ftbGnAppData','0 ','0 ','query_ftbStatHourPeerMmsSeg;ftp;load_ftbStatHourPeerMmsSeg'
103,'按流量分档统计发送量（小时）',5,'ftbGnAppData','0 ','0 ','query_ftbStatHourSpMmsFlushSort;ftp;load_ftbStatHourSpMmsFlushSort'
104,'\x0D\x0ASP彩信主题区域统计（小时）',5,'ftbGnAppData','0 ','0 ','exec_ftbStatHourSpMmsTitleArea'
105,'\x0D\x0A彩信流量分时段统计（小时）',5,'ftbGnAppData','0 ','0 ','query_ftbStatHourWapFlush;ftp;load_ftbStatHourWapFlush'
106,'\x0D\x0A黑莓用户流量(小时)',5,'ftbBlackberry','0 ','0 ','query_ftbStatHourBbUserFlush;ftp;load_ftbStatHourBbUserFlush'
107,'黑莓用户流量统计（天-小区）',5,'ftbBlackberry','1 ','0 ','exec_ftbStatDayBbCgiUserFlush'
108,'\x0D\x0A黑莓用户流量统计（天-小区-国家）',5,'ftbBlackberry','3 ','0 ','exec_ftbStatMonthBbCountryUserFlush'
109,'\x0D\x0A黑莓活跃用户统计',5,'ftbBlackberry','3 ','1 ','query_ftbStatMonthBbActiveUser;ftp;load_ftbStatMonthBbActiveUser'
110,'全网数据业务流量分布呈现（天）',5,'ftbStatBussNetSpaceHourUsers','1 ','0 ','exec_ftbStatDayGprsTotalFlush;update_ftbStatDayGprsTotalFlush'
111,'\x0D\x0A全网数据业务流量分布呈现（周）',5,'ftbGnAppData','2 ','0 ','exec_ftbStatWeekGprsTotalFlush;update_ftbStatWeekGprsTotalFlush'
112,'\x0D\x0A全网数据业务流量分布呈现（月）',5,'ftbGnAppData','3 ','0 ','exec_ftbStatMonthGprsTotalFlush;update_ftbStatMonthGprsTotalFlush'
113,'业务规则_辅规则不匹配统计表',5,'ftbAssistRuleData','1 ','0 ','query_ftbStatDayAssistRule;ftp;load_ftbStatDayAssistRule'
114,'业务规则_主向量规则流量统计表',5,'ftbMainRuleFlushData','1 ','0 ','exec_ftbStatDayMainRuleFlush'
115,'业务规则_全量辅规则识别',5,'ftbAssistVetorRecogniseData','1 ','0 ','query_ftbAssistVetorRecognise;exec_delete_ftbAssistVetorRecognise;load_ftbAssistVetorRecognise;exec_delete_ftbAssistVetorRecogniseData'
116,'业务规则_业务流量排名Top1000',5,'ftbGnAppData','1 ','0 ','user_RuleTop1000'
117,'全网数据业务分析之APN按区域分布_BSC',5,'ftbGnAppData','0 ','0 ','query_ftbStatHourBscApnType;ftp;load_ftbStatHourBscApnType'
118,'全网数据业务分析之APN按区域分布_SGSN',5,'ftbGnAppData','0 ','0 ','query_ftbStatHourSgsnApnType;ftp;load_ftbStatHourSgsnApnType'
119,'全网数据业务分析之APN按区域分布_街道办',5,'ftbGnAppData','0 ','0 ','query_ftbStatHourStreetApnType;ftp;load_ftbStatHourStreetApnType'
120,'全网数据业务分析之APN按区域分布_营销片区',5,'ftbGnAppData','0 ','0 ','query_ftbStatHourSaleAreaApnType;ftp;load_ftbStatHourSaleAreaApnType'
121,'全网数据业务分析之APN按区域分布_分公司',5,'ftbGnAppData','0 ','0 ','query_ftbStatHourCompanyApnType;ftp;load_ftbStatHourCompanyApnType'
