'TERMINAL_DATA_MANA','BASE_TERMINAL_MANA','终端管理','/mantoeye/terminalmanager/terminaluser.jsp?1=1',3,'','0',1,'1','TERMINAL_DATA_MANA'
'TERMINAL_TASK_MANA','BASE_TERMINAL_MANA','终端任务定制','/mantoeye/terminalmanager/terminal_task.jsp?1=1',4,'','0',1,'1','TERMINAL_TASK_MANA'
'MMS_TOTAL_ANAY','BASE_MMS_MANA','总体分析','#',1,'','0',1,'1','MMS_TOTAL_ANAY'
'MMS_SP_ANAY','BASE_MMS_MANA','SP彩信','#',2,'','0',1,'1','MMS_SP_ANAY'
'MMS_PEER_ANAY','BASE_MMS_MANA','点对点彩信','#',3,'','0',1,'1','MMS_PEER_ANAY'
'MMS_TOTAL_TYPE_STAT','MMS_TOTAL_ANAY','发送方式统计','/mantoeye/mms/mms_send_mode.jsp?1=1',1,'','0',1,'1','MMS_TOTAL_TYPE_STAT'
'MMS_TOTAL_HOUR_STAT','MMS_TOTAL_ANAY','流量分时段统计','/mantoeye/mms/mms_time_level.jsp?1=1',2,'','0',1,'1','MMS_TOTAL_HOUR_STAT'
'MMS_SP_PORT_STAT','MMS_SP_ANAY','按端口统计','/mantoeye/mms/sp/sp_mms_port.jsp?1=1',1,'','0',1,'1','MMS_SP_PORT_STAT'
'MMS_SP_TITEL_STAT','MMS_SP_ANAY','按主题统计','/mantoeye/mms/sp/sp_mms_title.jsp?1=1',2,'','0',1,'1','MMS_SP_TITEL_STAT'
'MMS_SP_SPACE_STAT','MMS_SP_ANAY','按区域统计','/mantoeye/mms/sp/sp_mms_area.jsp?1=1',3,'','0',1,'1','MMS_SP_SPACE_STAT'
'MMS_SP_TSPACE_STAT','MMS_SP_ANAY','按主题区域统计','/mantoeye/mms/sp/sp_mms_title_area.jsp?1=1',4,'','0',1,'1','MMS_SP_TSPACE_STAT'
'MMS_SP_THOUR_STAT','MMS_SP_ANAY','按主题时段统计','/mantoeye/mms/sp/sp_mms_title_time.jsp?1=1',5,'','0',1,'1','MMS_SP_THOUR_STAT'
'MMS_SP_FLEVEL_STAT','MMS_SP_ANAY','按流量分档统计','/mantoeye/mms/sp/sp_mms_flush_level.jsp?1=1',6,'','0',1,'1','MMS_SP_FLEVEL_STAT'
'MMS_PEER_SEG_STAT','MMS_PEER_ANAY','号段分布','/mantoeye/mms/peer/mms_peer_seg.jsp?1=1',1,'','0',1,'1','MMS_PEER_SEG_STAT'
'MMS_PEER_HOUR_STAT','MMS_PEER_ANAY','时段分布','/mantoeye/mms/peer/mms_peer_hour.jsp?1=1',2,'','0',1,'1','MMS_PEER_HOUR_STAT'
